id,店名,一类,二类,三类,area,reg,广告,团购,排队,买单,点单,促销,mark,外卖,订座,酒店预约,美容预约,匹配,推荐,榜单,入围,收藏,tags,菜品,shopid,商圈,价格,评分,星级,电话,评论数,状态码,营业状态,分店,路线,地址,lng,lat,营业时间,收录时间,黑珍珠
laQtwsp7MfKvdAWA,乐芙cake,美食,面包甜点,面包烘焙,浦东新区,世纪大道,0,1,0,0,0,0,,0,0,0,0,世纪大道  面包烘焙,"“蛋糕造型非常美丽了,特别精致”",,,,营业至23:00_有停车场_有WIFI_无接触外卖,英式栗子蛋糕_0|双层米奇米妮_0|草莓奥利奥蛋糕_0|kitty猫_0|双层森系蛋糕_0|双层前程似锦_0|网红硼砂A款_0|招牌巧克力奥利奥蛋糕_0|蛋糕甜品拼盘d款_0|茶歇甜品台定制_0|双层暴富_0|四拼蛋糕_0|原味裸蛋糕_0|架子蛋糕D款_0|红丝绒草莓堡垒_0|红丝绒裸蛋糕_0|蛋糕N款_0|财神一帆风顺_0|双层森系水果A款_0|芝士裸蛋糕_0|巧克力芝士裸蛋糕_0|骑马小女孩蛋糕_0|咸奶油男神款_0|经典蓝色爱心蛋糕_0|香草冰淇淋款_0|天使之爱_0|手绘蛋糕_0|草莓冰淇淋_0|爱心喷砂玫瑰_0|榴莲蛋糕_0|lv女神蛋糕_0|冰淇淋蛋糕_0|草莓冰淇淋款_0|招牌芒果蛋糕_0|,1297502296.0,世纪大道,,口味:3.6 环境:3.6 服务:3.6 ,3.2,15375533348|4008399967,2.0,0.0,,上海二店,距地铁2/4/6/9号线世纪大道站11号口步行610m,崂山路525号1层,121.51825,31.229942,周一至周日 08:00-23:00,,
k4mMJMEq5YFmW0eB,川福火锅,美食,火锅,,浦东新区,八佰伴,0,0,0,0,0,0,,0,0,0,0,八佰伴  火锅,,,,,营业至02:00_免费停车_有WIFI_可停车,,5658268.0,八佰伴,,口味:3.4 环境:3.4 服务:3.4 ,3.4,69710443,6.0,0.0,,商城路店,距地铁9号线商城路站4号口步行110m,浦仓路,121.511666,31.232556,周一至周日 09:00-02:00,2012年3月,
G6700fvv7w7ooUO6,徽苑壹号,美食,特色菜,,浦东新区,外滩,0,0,0,0,0,0,,0,0,0,0,外滩  特色菜,“有一秒穿越到古代大饭店的感jio”,,,,有8人-10人大桌_有包厢_卫生间_有宝宝椅_有停车场_可预订,大汤东海大黄鱼_5|现划响油鳝丝_0|万年青墨鱼大烤_3|家烧台州小白鲳鱼_0|四小福冷拼_0|沙蒜慢煮豆面_0|三葱小炒雪花牛肉_0|姜蓉脆皮咸风鸡_0|淮扬鲜虾石榴包_0|窝烧粗粮丸子参靓鲨鱼唇_0|当季时令水果_0|点心双拼_0|野菜石榴包_1|脆皮羔羊排_0|招牌豌豆酥龙趸_0|红烧三宝捞饭_1|家烧台州金钩虾_0|鲨鱼唇白萝卜_1|油醋汁章丘鲍鱼芹_0|干贝鱼翅羹_1|黑松露和牛片_1|脆皮乳鸽_0|风干水晶肉_0|法式鹅肝分子樱桃_1|油浸东海带鱼_4|蟹粉鱼翅羹_5|功夫鸡汤扣三丝_0|红烧鸡丝青片翅_0|发财猪手焖鲍鱼_6|手工狮子头_0|堂煎M5和牛_0|松茸虫草炖花胶_4|家烧东海黄鱼_0|北极甜虾_4|北京烤鸭_6|砂锅生啫章丘鲍鱼芹_0|,892689193.0,外滩,450/人,口味:3.8 环境:4.1 服务:3.7 ,3.7,58881667|58881767,39.0,0.0,,世茂店,距地铁9号线商城路站3号口步行1.1km,潍坊西路1弄18号,121.509715,31.225492,周一至周日 11:00-22:00,,
k9bHKaEwi3tE21Ak,日本经典动漫原稿&吉卜力工作室原稿展,电影演出赛事,演出/活动,,普陀区,陆家嘴,0,0,0,0,0,0,,0,0,0,0,陆家嘴  演出/活动,,,,,,,1782448928.0,陆家嘴,,,0.0,,0.0,0.0,,,距地铁14号线浦东南路站2口步行630m,陆家嘴街道银城路尚悦湾广场LG层,121.504902,31.243384,,,
l4fYFbGRtsVobOP3,云中阁桑拿会所,休闲娱乐,洗浴/汗蒸,洗浴中心,浦东新区,大连路地铁站,0,0,0,0,0,0,,0,0,0,0,大连路地铁站  洗浴中心,,,,,,,129633025.0,大连路地铁站,,,0.0,13295652335,7.0,0.0,,,距地铁2/14号线陆家嘴站3号口步行1.3km,陆家嘴街道浦东南路111号,121.502874,31.245665,周一至周日 11:00-04:00,,
G4ROnKTpc4RGqztU,唆了蜜团建·中高端跑男综艺剧情·室内户外轰趴拓展基地,休闲娱乐,团建拓展,,浦东新区,北外滩/外白渡桥,0,0,0,0,0,0,,0,0,0,0,北外滩/外白渡桥  团建拓展,,,,,,,1462325433.0,北外滩/外白渡桥,,,3.9,13761384835,15.0,0.0,,上海陆家嘴旗舰店,距地铁2/14号线陆家嘴站1号口步行480m,陆家嘴西路168号,121.494675,31.238763,周一至周日 09:00-22:30,,
EzO5GnmFx51FUBql,森林剧馆沉浸式剧本杀,休闲娱乐,剧本杀,,浦东新区,外滩,0,0,0,0,0,0,,0,0,0,0,外滩  剧本杀,,,,,,,951543513.0,外滩,,,0.0,13085074011|18255163617,6.0,0.0,,外滩游艇店,距海石广场10m,滨江大道4166号,121.504823,31.22552,周一至周日 09:30-23:00 23:30-04:00,,
igyXhGiZCDPXaL6t,Lily Brows 德国半永久纹眉发际线,丽人,美甲美睫,美睫,浦东新区,北外滩/外白渡桥,0,1,0,0,0,0,,0,0,0,1,美睫,"“环境很舒服,眉毛特别喜欢”",浦东新区纹绣热门榜第10名,,,无隐性消费,,1743013449.0,北外滩/外白渡桥,消费:3945,效果:4.7 环境:4.6 服务:4.7 ,4.7,18610509966|18811129810,195.0,0.0,到店前请与商户确认营业时间并预约，进店请佩戴口罩,外滩店,距地铁14号线浦东南路站2口步行570m,银城路尚悦街西街下沉广场星巴克咖啡左后面第一家,121.506708,31.244926,周一至周日 10:00-22:00,,
laBrUP2nkLohPPsD,南滨江,景点/周边游,自然景观,,浦东新区,外滩,0,0,0,0,0,0,,0,0,0,0,外滩  自然景观,“外滩万国建筑博览群尽收眼底”,,,,,,5640264.0,外滩,24/人,,4.8,61600122,149.0,0.0,,,距地铁2/14号线陆家嘴站10口步行780m,滨江大道2967号,121.49202,31.237777,,,
FFsRtuxNjz90v4gM,外滩观光隧道,景点/周边游,旅游项目/观光项目,城市观光,浦东新区,外滩,0,0,0,0,0,0,,0,0,0,0,外滩  城市观光,“无人驾驶全透明车厢”,,,,,,1795450.0,外滩,87/人,,3.5,58886000,3675.0,3.0,该商户暂停营业,,距地铁2/14号线陆家嘴站1号口步行540m,滨江大道2789号（近东方明珠）,121.49281,31.24023900000001,周一至周日 08:00-22:30,,
